target_patient,model,selection_population,rank,channel,selected_channels,validation_cross_entropy,validation_auprc,validation_brier
PN06,G,other_four_patients,28,F10,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3, F8, F9, FC2, F10",0.7029742589172053,0.22016117526702456,0.25483936519260636
PN06,G,other_four_patients,29,FC1,"P4, C3, PZ, CZ, O2, FP2, CP1, F3, O1, FZ, FC5, FP1, F7, CP2, T4, FC6, T6, F4, C4, T5, P3, CP5, CP6, T3, F8, F9, FC2, F10, FC1",0.7086419680570084,0.2154230063935821,0.2575639825689655
PN10,P,personalized_training_events,1,C4,C4,0.6532939984630054,0.3053454887009233,0.2149536892268928
PN10,P,personalized_training_events,2,F9,"C4, F9",0.6110010494950268,0.3925160329936055,0.211118796276879
PN10,P,personalized_training_events,3,T4,"C4, F9, T4",0.6003639779096447,0.4001658411574356,0.20600217822211844
PN10,P,personalized_training_events,4,CZ,"C4, F9, T4, CZ",0.603043530740738,0.3167448593767135,0.20749997490458671
PN10,P,personalized_training_events,5,F4,"C4, F9, T4, CZ, F4",0.6034814094390739,0.342522522193877,0.20797867468254286
PN10,P,personalized_training_events,6,T3,"C4, F9, T4, CZ, F4, T3",0.6055299898730725,0.31781127417112187,0.2098323572697549
PN10,P,personalized_training_events,7,F8,"C4, F9, T4, CZ, F4, T3, F8",0.6076453683763104,0.3212307383247842,0.2110396300412619
PN10,P,personalized_training_events,8,CP2,"C4, F9, T4, CZ, F4, T3, F8, CP2",0.6101434072072431,0.33275273762988833,0.21171687228173527
PN10,P,personalized_training_events,9,F7,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7",0.6130474494197005,0.3058675310893463,0.21230417788851233
PN10,P,personalized_training_events,10,O2,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2",0.6160092894506863,0.30394168563649193,0.21328647480351043
PN10,P,personalized_training_events,11,CP5,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5",0.6182644921355784,0.3168255748222434,0.21432946630282
PN10,P,personalized_training_events,12,FZ,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ",0.6207401190638518,0.3143281528840641,0.21530441184227564
PN10,P,personalized_training_events,13,P4,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4",0.623519149340071,0.3073435275021425,0.21643591802195533
PN10,P,personalized_training_events,14,FC5,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5",0.6255597013784019,0.3151352826199605,0.21742390336747197
PN10,P,personalized_training_events,15,PZ,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ",0.6282457349529643,0.31087688974723093,0.2185812876684557
PN10,P,personalized_training_events,16,FC6,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6",0.6307197329092865,0.3130137257165028,0.21974781271711055
PN10,P,personalized_training_events,17,C3,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3",0.6333518396800327,0.30522588537529516,0.22117576325045285
PN10,P,personalized_training_events,18,FC1,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1",0.6356226997856834,0.3138133694660969,0.22236894610263555
PN10,P,personalized_training_events,19,F3,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3",0.6377463203863394,0.3012026798868086,0.22332190471581578
PN10,P,personalized_training_events,20,CP6,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6",0.6400385700027994,0.3035180327400513,0.22441596326498106
PN10,P,personalized_training_events,21,CP1,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6, CP1",0.6430130656077617,0.307644453986597,0.22591753949143023
PN10,P,personalized_training_events,22,P3,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6, CP1, P3",0.6460164934954457,0.3045441750232909,0.22734017966104297
PN10,P,personalized_training_events,23,FC2,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6, CP1, P3, FC2",0.6486669717486818,0.30753211637644107,0.22863745472612126
PN10,P,personalized_training_events,24,FP2,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6, CP1, P3, FC2, FP2",0.6514160122727585,0.2971202341309423,0.23006483061648306
PN10,P,personalized_training_events,25,T6,"C4, F9, T4, CZ, F4, T3, F8, CP2, F7, O2, CP5, FZ, P4, FC5, PZ, FC6, C3, FC1, F3, CP6, CP1, P3, FC2, FP2, T6",0.6540337181706484,0.29523355307820254,0.2312599806124416
